  681 mora            0.024% (79.5%) 
  682 romanum         0.024% (79.6%) 
  683 familia         0.024% (79.6%) 
  684 succedo         0.024% (79.6%) 
  685 calamitas       0.024% (79.6%) 
  686 propterea       0.024% (79.7%) 
  687 similis         0.024% (79.7%) 
  688 animaduertit    0.024% (79.7%) 
  689 adsum           0.024% (79.7%) 
  690 sagittarius     0.024% (79.7%) 
  691 occasio         0.024% (79.8%) 
  692 gladius         0.024% (79.8%) 
  693 tollo           0.024% (79.8%) 
  694 progredio       0.024% (79.8%) 
  695 explorator      0.024% (79.9%) 
  696 antecedo        0.024% (79.9%) 
  697 praecipio       0.024% (79.9%) 
  698 paulatim        0.023% (79.9%) 
  699 multi           0.023% (80.0%) 
  700 distribuo       0.023% (80.0%) 
  701 excello         0.023% (80.0%) 
  702 dolor           0.023% (80.0%) 
  703 victor          0.023% (80.1%) 
  704 tergum          0.023% (80.1%) 
  705 consequor       0.023% (80.1%) 
  706 intereo         0.023% (80.1%) 
  707 pleraque        0.023% (80.1%) 
  708 adjungo         0.023% (80.2%) 
  709 scribo          0.023% (80.2%) 
  710 quintus         0.023% (80.2%) 
  711 descendo        0.023% (80.2%) 
  712 persuadeo       0.023% (80.3%) 
  713 auxilia         0.023% (80.3%) 
  714 juro            0.023% (80.3%) 
  715 oportet         0.023% (80.3%) 
  716 statim          0.023% (80.4%) 
  717 antea           0.023% (80.4%) 
  718 procul          0.023% (80.4%) 
  719 usque           0.023% (80.4%) 
  720 arcesso         0.022% (80.4%) 
  721 via             0.022% (80.5%) 
  722 regno           0.022% (80.5%) 
  723 occaedes        0.022% (80.5%) 
  724 conscendo       0.022% (80.5%) 
  725 diverto         0.022% (80.6%) 
  726 nocturnus       0.022% (80.6%) 
  727 invenio         0.022% (80.6%) 
  728 navigium        0.022% (80.6%) 
  729 restituo        0.022% (80.6%) 
  730 depono          0.022% (80.7%) 
  731 refugio         0.022% (80.7%) 
  732 confligo        0.022% (80.7%) 
  733 initium         0.022% (80.7%) 
  734 dedo            0.022% (80.8%) 
  735 repo            0.022% (80.8%) 
  736 servo           0.022% (80.8%) 
  737 effero          0.022% (80.8%) 
  738 consul          0.022% (80.8%) 
  739 queo            0.022% (80.9%) 
  740 paucitas        0.022% (80.9%) 
  741 loquor          0.022% (80.9%) 
  742 cupidus         0.022% (80.9%) 
  743 perpetuus       0.022% (80.9%) 
  744 verro           0.022% (81.0%) 
  745 elephantus      0.022% (81.0%) 
